지역명,연,월,대상가구수,평균사용량,평균금액
대전광역시,2023,5,797035,194.39,23889
대전광역시,2023,6,798727,203.28,26525
대전광역시,2023,7,801354,234.84,31395
대전광역시,2023,8,801636,306.56,42923
대전광역시,2023,9,801741,291.56,41555
대전광역시,2023,10,803093,208.85,28008
대전광역시,2023,11,805787,201.18,26563
대전광역시,2023,12,806623,212.04,28528
대전광역시,2024,1,808018,231.0,32462
대전광역시,2024,2,809324,230.71,32479
대전광역시,2024,3,811132,206.91,27765
대전광역시,2024,4,811573,207.98,28003
대전광역시,2024,5,814161,189.96,24877
대전광역시,2024,6,814515,201.19,26879
대전광역시,2024,7,815344,235.41,31707
부산광역시,2020,1,1692810,240.46,26621
부산광역시,2020,2,1695814,242.65,27035
부산광역시,2020,3,1697638,226.71,24090
부산광역시,2020,4,1701204,230.57,24828
부산광역시,2020,5,1701418,213.51,21771
부산광역시,2020,6,1704717,216.03,22054
부산광역시,2020,7,1705416,220.61,21000
부산광역시,2020,8,1704536,277.07,28599
부산광역시,2020,9,1707813,300.01,35631
부산광역시,2020,10,1707535,212.79,21455
부산광역시,2020,11,1708748,218.63,22432
부산광역시,2020,12,1714841,230.56,24643
부산광역시,2021,1,1716952,259.16,29547
부산광역시,2021,2,1717002,250.07,27727
부산광역시,2021,3,1719544,215.0,21305
부산광역시,2021,4,1721700,223.05,22741
부산광역시,2021,5,1726843,209.14,20396
부산광역시,2021,6,1728096,217.02,21543
부산광역시,2021,7,1731034,242.02,24276
부산광역시,2021,8,1730634,322.81,37161
부산광역시,2021,9,1730895,268.13,28709
부산광역시,2021,10,1733848,221.15,23435
부산광역시,2021,11,1736148,219.34,23105
부산광역시,2021,12,1738570,225.46,24124
부산광역시,2022,1,1737741,248.57,28506
부산광역시,2022,2,1717997,250.85,29315
부산광역시,2022,3,1722026,221.01,23670
부산광역시,2022,4,1726489,226.15,23949
부산광역시,2022,5,1728411,206.03,21192
부산광역시,2022,6,1730594,211.91,22059
부산광역시,2022,7,1733481,261.13,28750
부산광역시,2022,8,1737097,319.42,37149
부산광역시,2022,9,1736692,268.76,29837
부산광역시,2022,10,1736686,213.92,23354
부산광역시,2022,11,1737869,213.41,24144
부산광역시,2022,12,1739044,223.43,25746
부산광역시,2023,1,1740119,248.18,32034
부산광역시,2023,2,1742852,244.58,33159
부산광역시,2023,3,1743998,208.12,25983
부산광역시,2023,4,1746937,216.4,27512
부산광역시,2023,5,1752949,205.92,25758
부산광역시,2023,6,1756039,214.66,28518
부산광역시,2023,7,1759506,242.69,32493
부산광역시,2023,8,1763212,328.29,48406
부산광역시,2023,9,1764093,300.32,44699
부산광역시,2023,10,1764332,222.46,30677
부산광역시,2023,11,1766209,210.68,28233
부산광역시,2023,12,1766819,222.64,30527
부산광역시,2024,1,1768983,242.59,34755
부산광역시,2024,2,1772699,241.62,34557
부산광역시,2024,3,1776944,219.18,29933
부산광역시,2024,4,1777635,220.33,30140
부산광역시,2024,5,1778034,204.03,27059
부산광역시,2024,6,1780456,213.09,28761
부산광역시,2024,7,1781988,250.16,34155
서울특별시,2020,1,4705280,233.97,26193
서울특별시,2020,2,4707557,233.18,26031
서울특별시,2020,3,4714415,220.35,23630
서울특별시,2020,4,4723785,221.53,23921
서울특별시,2020,5,4731749,208.21,21524
서울특별시,2020,6,4738702,222.3,24056
서울특별시,2020,7,4746749,237.6,24826
서울특별시,2020,8,4751818,276.15,29781
서울특별시,2020,9,4756152,287.32,34306
서울특별시,2020,10,4763625,209.82,21730
서울특별시,2020,11,4772339,215.63,22803
서울특별시,2020,12,4774486,230.75,25610
서울특별시,2021,1,4777855,257.2,30216
서울특별시,2021,2,4784548,245.3,27807
서울특별시,2021,3,4787473,210.51,21305
서울특별시,2021,4,4793381,216.16,22312
서울특별시,2021,5,4798550,205.77,20498
서울특별시,2021,6,4803182,218.22,22594
서울특별시,2021,7,4809953,270.04,30938
서울특별시,2021,8,4810246,362.26,47660
서울특별시,2021,9,4814257,259.13,28247
서울특별시,2021,10,4816654,218.29,23838
서울특별시,2021,11,4820320,216.94,23609
서울특별시,2021,12,4825957,225.0,25115
서울특별시,2022,1,3995818,233.27,27293
서울특별시,2022,2,4761227,245.38,29316
서울특별시,2022,3,4764225,218.35,23943
서울특별시,2022,4,4768114,220.14,23731
서울특별시,2022,5,4770008,201.56,21156
서울특별시,2022,6,4773180,213.74,23177
서울특별시,2022,7,4779332,277.03,32985
서울특별시,2022,8,4786966,329.3,40713
서울특별시,2022,9,4790550,260.65,29601
서울특별시,2022,10,4795050,213.25,24285
서울특별시,2022,11,4801628,211.94,24904
서울특별시,2022,12,4803896,224.78,27243
서울특별시,2023,1,4807229,247.22,33227
서울특별시,2023,2,4813757,237.7,32909
서울특별시,2023,3,4818859,204.32,26256
서울특별시,2023,4,4821114,209.6,27168
서울특별시,2023,5,4825130,200.67,25795
서울특별시,2023,6,4828850,215.99,29845
서울특별시,2023,7,4834192,266.43,38599
서울특별시,2023,8,4838055,340.0,52895
서울특별시,2023,9,4843078,291.53,43930
서울특별시,2023,10,4848664,216.18,28357
서울특별시,2023,11,4857156,210.52,29064
서울특별시,2023,12,4870737,223.64,27903
서울특별시,2024,1,4874414,241.96,31450
서울특별시,2024,2,4877485,235.37,30234
서울특별시,2024,3,4880106,212.61,29629
서울특별시,2024,4,4882040,210.87,29231
서울특별시,2024,5,4885748,197.6,26766
서울특별시,2024,6,4890087,217.5,26717
서울특별시,2024,7,4890640,267.32,29916
세종특별자치시,2020,1,166462,272.72,29812
세종특별자치시,2020,2,166425,275.16,30368
세종특별자치시,2020,3,167551,256.59,26781
세종특별자치시,2020,4,169350,260.61,28001
세종특별자치시,2020,5,170352,241.36,24664
세종특별자치시,2020,6,172189,247.53,25488
세종특별자치시,2020,7,172280,259.25,26486
세종특별자치시,2020,8,173259,287.7,26875
세종특별자치시,2020,9,174884,363.07,43843
세종특별자치시,2020,10,175439,245.86,25185
세종특별자치시,2020,11,175718,248.33,25759
세종특별자치시,2020,12,177584,256.4,27251
세종특별자치시,2021,1,177603,287.63,32905
세종특별자치시,2021,2,177640,291.19,33496
세종특별자치시,2021,3,179034,242.89,24120
세종특별자치시,2021,4,181729,252.2,26483
세종특별자치시,2021,5,182064,235.05,23250
세종특별자치시,2021,6,182105,247.31,25091
세종특별자치시,2021,7,181737,262.42,27572
세종특별자치시,2021,8,181750,379.62,46490
세종특별자치시,2021,9,183728,316.13,34566
세종특별자치시,2021,10,184889,248.56,26061
세종특별자치시,2021,11,184935,253.33,27294
세종특별자치시,2021,12,185020,257.1,27773
세종특별자치시,2022,1,185670,282.32,33156
세종특별자치시,2022,2,185657,288.78,34577
세종특별자치시,2022,3,185680,256.63,27568
세종특별자치시,2022,4,185889,269.7,29213
세종특별자치시,2022,5,186004,242.57,25336
세종특별자치시,2022,6,186053,248.33,26127
세종특별자치시,2022,7,186157,291.24,33259
세종특별자치시,2022,8,186228,380.51,45286
세종특별자치시,2022,9,187301,352.45,40773
세종특별자치시,2022,10,187877,259.96,28261
세종특별자치시,2022,11,187952,257.61,29768
세종특별자치시,2022,12,188036,263.05,30522
세종특별자치시,2023,1,188082,297.45,38491
세종특별자치시,2023,2,188130,295.0,41278
세종특별자치시,2023,3,188256,250.0,31781
세종특별자치시,2023,4,188401,259.3,33688
세종특별자치시,2023,5,188935,245.57,31048
세종특별자치시,2023,6,189992,254.42,34042
세종특별자치시,2023,7,191456,278.24,38682
세종특별자치시,2023,8,191292,375.45,55388
세종특별자치시,2023,9,193264,384.01,59039
세종특별자치시,2023,10,193242,271.64,38870
세종특별자치시,2023,11,193490,250.68,34239
세종특별자치시,2023,12,193818,259.08,35788
세종특별자치시,2024,1,193822,285.25,41969
세종특별자치시,2024,2,193871,288.14,42669
세종특별자치시,2024,3,193910,258.33,35854
세종특별자치시,2024,4,194633,259.58,36365
세종특별자치시,2024,5,194641,239.96,32493
세종특별자치시,2024,6,194647,247.23,34053
세종특별자치시,2024,7,194963,277.32,38909
울산광역시,2020,1,576430,238.08,26351
울산광역시,2020,2,576344,241.79,27015
울산광역시,2020,3,576392,227.6,24385
울산광역시,2020,4,577010,231.96,25373
울산광역시,2020,5,577013,214.86,22304
울산광역시,2020,6,576940,216.95,22517
울산광역시,2020,7,577954,220.08,21499
울산광역시,2020,8,577690,268.19,26525
울산광역시,2020,9,577620,312.84,37326
울산광역시,2020,10,577815,214.84,21936
울산광역시,2020,11,578499,219.7,22864
울산광역시,2020,12,578726,229.16,24542
울산광역시,2021,1,578261,259.39,29626
울산광역시,2021,2,579012,252.72,28340
울산광역시,2021,3,578846,216.83,21677
울산광역시,2021,4,578899,226.37,23538
울산광역시,2021,5,578805,212.82,21252
울산광역시,2021,6,578214,220.27,22307
울산광역시,2021,7,577891,234.99,23330
울산광역시,2021,8,578043,323.54,36614
울산광역시,2021,9,578194,269.08,28067
울산광역시,2021,10,578757,223.38,23795
울산광역시,2021,11,578620,224.94,24164
울산광역시,2021,12,579143,227.69,24653
울산광역시,2022,1,579319,250.82,29052
울산광역시,2022,2,570267,254.09,30083
울산광역시,2022,3,570228,223.27,24321
울산광역시,2022,4,570590,231.37,24950
울산광역시,2022,5,570404,209.54,22038
울산광역시,2022,6,570296,216.4,23054
울산광역시,2022,7,570177,265.24,29920
울산광역시,2022,8,570897,320.77,36591
울산광역시,2022,9,573857,279.63,31164
울산광역시,2022,10,573803,216.42,23748
울산광역시,2022,11,574618,217.76,25258
울산광역시,2022,12,574405,225.45,26496
울산광역시,2023,1,574389,250.03,32455
울산광역시,2023,2,574333,248.29,34227
울산광역시,2023,3,574955,210.85,26918
울산광역시,2023,4,575727,218.39,28448
울산광역시,2023,5,577656,207.4,26418
울산광역시,2023,6,579297,214.75,29085
울산광역시,2023,7,580565,239.05,32534
울산광역시,2023,8,580493,324.63,47356
울산광역시,2023,9,580589,300.01,43928
울산광역시,2023,10,581196,223.62,31130
울산광역시,2023,11,581675,214.35,29376
울산광역시,2023,12,581868,225.35,31366
울산광역시,2024,1,584146,245.23,35734
울산광역시,2024,2,584381,247.29,36095
울산광역시,2024,3,584959,224.02,31180
울산광역시,2024,4,585030,224.06,31418
울산광역시,2024,5,585610,207.8,28271
울산광역시,2024,6,585131,214.44,29694
울산광역시,2024,7,585200,254.36,35698
인천광역시,2020,1,1395640,245.66,27528
인천광역시,2020,2,1398843,245.21,27435
인천광역시,2020,3,1401555,229.76,24584
인천광역시,2020,4,1403509,232.09,25213
인천광역시,2020,5,1405882,217.81,22596
인천광역시,2020,6,1407041,224.58,23657
인천광역시,2020,7,1408358,232.98,22964
인천광역시,2020,8,1412704,280.34,29259
인천광역시,2020,9,1414436,291.95,34128
인천광역시,2020,10,1416018,217.08,22384
인천광역시,2020,11,1421477,225.75,23869
인천광역시,2020,12,1422918,241.15,26621
인천광역시,2021,1,1428581,268.33,31296
인천광역시,2021,2,1432139,257.44,29090
인천광역시,2021,3,1433628,222.1,22564
인천광역시,2021,4,1438517,227.52,23652
인천광역시,2021,5,1439554,215.71,21563
인천광역시,2021,6,1442128,224.09,22860
인천광역시,2021,7,1438852,270.41,29753
인천광역시,2021,8,1445400,367.57,46625
인천광역시,2021,9,1448763,268.81,28966
인천광역시,2021,10,1449740,228.32,24755
인천광역시,2021,11,1454431,230.63,25077
인천광역시,2021,12,1458383,237.87,26419
인천광역시,2022,1,1472121,259.87,30823
인천광역시,2022,2,1473401,257.83,30267
인천광역시,2022,3,1478842,228.39,24751
인천광역시,2022,4,1473840,231.01,24763
인천광역시,2022,5,1476685,210.85,22000
인천광역시,2022,6,1480225,218.81,23278
인천광역시,2022,7,1485904,277.94,31722
인천광역시,2022,8,1489684,334.26,39769
인천광역시,2022,9,1491688,268.72,29758
인천광역시,2022,10,1494613,221.6,24798
인천광역시,2022,11,1495668,223.82,25988
인천광역시,2022,12,1505587,235.9,28165
인천광역시,2023,1,1513232,258.82,34373
인천광역시,2023,2,1514791,251.06,34418
인천광역시,2023,3,1516351,216.39,27611
인천광역시,2023,4,1526056,220.73,28497
인천광역시,2023,5,1527258,210.76,26882
인천광역시,2023,6,1533782,219.78,29863
인천광역시,2023,7,1537868,266.85,37521
인천광역시,2023,8,1542839,348.92,53252
인천광역시,2023,9,1545956,300.36,44924
인천광역시,2023,10,1548536,225.99,25292
인천광역시,2023,11,1550226,222.0,24528
인천광역시,2023,12,1552739,237.8,27049
