대상가구수,평균사용량,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
576940,216.95,22517,22.7,18.5,27.6,2839,1142190,472983,2.41,586939,555251
577954,220.08,21499,22.1,19.8,25.3,2846,1141362,473640,2.41,586533,554829
578261,259.39,29626,2.1,-2.6,6.8,2905,1135370,478531,2.37,583402,551968
579012,252.72,28340,6.5,1.6,11.9,2904,1132953,479441,2.36,582190,550763
578846,216.83,21677,10.5,5.9,15.4,2910,1129254,478528,2.36,580424,548830
578899,226.37,23538,13.8,9.1,19.0,2920,1128163,478865,2.36,579853,548310
578805,212.82,21252,17.8,13.1,22.7,2936,1127175,479362,2.35,579316,547859
578214,220.27,22307,21.7,18.2,25.8,2930,1126369,479971,2.35,578924,547445
577891,234.99,23330,25.9,22.8,29.8,2926,1125727,480623,2.34,578511,547216
579319,250.82,29052,2.6,-1.7,8.0,2955,1121100,482917,2.32,575939,545161
570267,254.09,30083,2.7,-1.8,7.7,2964,1119446,483490,2.32,575165,544281
570228,223.27,24321,9.9,4.9,15.0,2973,1118010,484122,2.31,574444,543566
570590,231.37,24950,14.7,9.8,20.1,2998,1117204,484641,2.31,573984,543220
570404,209.54,22038,19.2,13.8,24.9,3009,1116482,485349,2.3,573619,542863
570296,216.4,23054,22.4,19.1,26.6,3020,1115609,485652,2.3,573152,542457
570177,265.24,29920,26.0,22.9,30.0,2995,1114753,485759,2.29,572615,542138
574389,250.03,32455,2.6,-2.1,7.9,3042,1110074,486281,2.28,570113,539961
574333,248.29,34227,5.2,0.6,10.4,3053,1108665,486823,2.28,569576,539089
574955,210.85,26918,11.4,6.3,17.2,3070,1107746,487241,2.27,569131,538615
575727,218.39,28448,14.1,9.2,18.8,3081,1107134,487447,2.27,568824,538310
577656,207.4,26418,17.8,13.3,22.5,3090,1106446,487873,2.27,568518,537928
579297,214.75,29085,22.3,18.4,26.9,3101,1106015,488421,2.26,568302,537713
580565,239.05,32534,25.8,22.5,29.8,3107,1105326,488828,2.26,567947,537379
584146,245.23,35734,3.4,-0.7,8.3,3111,1103402,490987,2.25,567081,536321
584381,247.29,36095,6.0,2.5,10.0,3100,1102161,491670,2.24,566604,535557
1395640,245.66,27528,1.8,-0.8,5.0,12057,2956119,1239915,2.38,1481749,1474370
1398843,245.21,27435,2.5,-0.6,6.2,12116,2954955,1242107,2.38,1481133,1473822
1401555,229.76,24584,7.1,3.3,11.2,12077,2952689,1243983,2.37,1479839,1472850
1403509,232.09,25213,10.4,7.1,14.3,12097,2950972,1246255,2.37,1478916,1472056
1405882,217.81,22596,16.7,13.5,20.7,12131,2950063,1249739,2.36,1478307,1471756
1407041,224.58,23657,21.8,18.7,25.8,12200,2947217,1251818,2.35,1476813,1470404
1408358,232.98,22964,23.2,20.8,26.2,12331,2945565,1253957,2.35,1475837,1469728
1428581,268.33,31296,-2.0,-5.9,1.8,12243,2942452,1270669,2.32,1473639,1468813
1432139,257.44,29090,2.1,-2.0,6.3,12286,2941705,1273377,2.31,1473245,1468460
1433628,222.1,22564,7.7,4.2,12.3,12341,2936461,1272361,2.31,1470750,1465711
1438517,227.52,23652,13.2,9.6,17.3,12421,2936214,1275194,2.3,1470490,1465724
1439554,215.71,21563,16.2,12.7,20.2,12450,2936382,1277842,2.3,1470528,1465854
1442128,224.09,22860,21.6,18.6,25.3,12503,2936367,1280291,2.29,1470544,1465823
1438852,270.41,29753,27.2,24.6,30.4,12450,2937440,1283524,2.29,1470985,1466455
1472121,259.87,30823,-2.2,-5.6,1.7,12649,2949150,1300292,2.27,1476663,1472487
1473401,257.83,30267,-1.3,-4.5,2.4,12672,2950978,1303227,2.26,1477432,1473546
1478842,228.39,24751,6.7,3.3,10.8,12710,2952699,1306725,2.26,1478272,1474427
1473840,231.01,24763,12.9,9.4,17.3,12814,2953260,1308777,2.26,1478514,1474746
1476685,210.85,22000,17.1,13.5,21.4,12912,2955167,1311588,2.25,1479428,1475739
1480225,218.81,23278,21.9,19.2,25.4,12969,2957066,1313975,2.25,1480432,1476634
1485904,277.94,31722,26.2,23.8,29.5,13072,2960580,1317046,2.25,1482177,1478403
1513232,258.82,34373,-1.6,-5.1,2.2,13288,2969502,1324140,2.24,1486300,1483202
1514791,251.06,34418,1.6,-1.6,5.4,13328,2971788,1326947,2.24,1487333,1484455
1516351,216.39,27611,8.1,4.0,13.0,13362,2974481,1330898,2.23,1488490,1485991
1526056,220.73,28497,12.7,8.8,17.0,13407,2976338,1333148,2.23,1489277,1487061
1527258,210.76,26882,18.0,14.5,22.4,13451,2978089,1335225,2.23,1490065,1488024
1533782,219.78,29863,21.8,19.0,25.4,13523,2978749,1336603,2.23,1490345,1488404
1537868,266.85,37521,25.7,23.4,28.4,13570,2981553,1339361,2.23,1491638,1489915
1553748,257.86,30582,-0.6,-3.6,2.7,13717,3000454,1352622,2.22,1500414,1500040
1556279,251.67,29560,3.3,0.2,6.9,13748,3003150,1355494,2.22,1501543,1501607
1038960,212.49,24068,5.8,3.2,9.2,7060,1864712,872739,2.14,935962,928750
1039679,215.16,24533,6.4,3.0,10.5,7094,1861894,873871,2.13,934900,926994
1043162,196.96,21475,9.9,5.9,14.1,7066,1859290,875423,2.12,933896,925394
1046390,199.42,22625,12.5,8.6,17.0,7089,1857083,877388,2.12,932970,924113
1047139,187.61,20351,18.0,15.2,21.3,7117,1855945,880440,2.11,932496,923449
1049196,187.56,19919,22.4,19.8,25.7,7143,1854618,882615,2.1,931898,922720
1051168,190.47,18414,22.6,21.1,25.0,7161,1853339,884043,2.1,931280,922059
1053399,240.79,24756,27.1,25.3,29.7,7186,1851985,885676,2.09,930466,921519
1056018,249.64,28613,22.2,19.9,24.8,7162,1851124,887358,2.09,930076,921048
1057091,183.84,19058,17.3,14.3,21.0,7188,1850680,888724,2.08,929911,920769
1059067,190.9,20378,12.1,8.9,16.0,7220,1850557,890570,2.08,929986,920571
1060399,203.66,22398,4.3,1.0,8.3,7226,1851549,893152,2.07,930615,920934
1061990,227.64,26575,2.9,-0.6,6.9,7255,1850575,894611,2.07,930132,920443
1065215,219.71,25112,6.2,2.6,10.5,7282,1849795,896411,2.06,929889,919906
1067970,189.46,19608,11.0,7.8,15.0,7317,1844811,895024,2.06,927884,916927
1071696,193.04,20868,14.7,11.0,18.8,7360,1844148,896392,2.06,927667,916481
1071950,181.82,19058,18.1,15.1,21.6,7401,1842423,896634,2.05,927074,915349
1074699,185.37,19359,22.3,20.0,25.4,7432,1840921,897529,2.05,926398,914523
1073630,207.12,22081,26.5,24.5,29.1,7455,1839698,898434,2.05,925751,913947
1075007,268.74,31446,26.8,24.7,29.4,7473,1838353,899309,2.04,924912,913441
1076783,223.89,24579,23.2,21.2,25.6,7493,1835690,900110,2.04,923651,912039
1077656,189.88,20961,18.6,15.6,22.3,7515,1834653,901203,2.04,923037,911616
1079924,191.02,21371,12.1,8.8,16.4,7541,1833864,902193,2.03,922677,911187
1082556,199.47,22662,5.7,2.2,9.7,7520,1832803,903108,2.03,922221,910582
1083606,219.62,26740,3.3,-0.1,7.6,7533,1832604,903758,2.03,922190,910414
1085191,220.21,27032,3.1,-0.3,7.4,7548,1831451,905202,2.02,921753,909698
1086294,190.96,21771,9.7,6.1,13.9,7579,1829501,905818,2.02,920971,908530
1090388,195.49,22193,14.7,11.4,18.6,7610,1828550,906664,2.02,920492,908058
1092167,176.75,19941,18.9,15.3,23.3,7628,1827674,907606,2.01,920050,907624
1096486,179.58,20372,21.9,19.9,24.7,7653,1826440,907953,2.01,919417,907023
1006872,219.32,24310,2.3,-2.1,7.7,6939,1817302,817017,2.22,903385,913917
1008562,222.38,24932,3.2,-2.1,9.5,6970,1815112,818452,2.22,902365,912747
1009574,203.6,21821,7.1,0.4,14.0,6999,1812936,820140,2.21,901252,911684
1012745,206.78,23028,9.6,2.4,17.0,7027,1811619,821517,2.21,900628,910991
1014255,193.35,20572,17.8,12.2,23.8,7040,1810097,824032,2.2,899894,910203
1016263,194.58,20441,23.1,18.3,28.7,7063,1808802,826134,2.19,899137,909665
1017757,196.42,18861,22.9,20.1,26.8,7103,1808044,827895,2.18,898719,909325
1027590,236.66,27182,-0.9,-6.5,5.2,7290,1802748,838242,2.15,896115,906633
1029074,228.98,25808,3.4,-2.4,9.9,7319,1801319,840063,2.14,895485,905834
1030950,195.07,19751,9.3,2.8,16.4,7362,1797450,839942,2.14,893974,903476
1033076,202.07,21480,13.7,7.1,20.4,7384,1796331,841378,2.13,893415,902916
1034447,189.06,19314,17.2,11.2,23.3,7394,1794682,841543,2.13,892833,901849
1035353,193.25,19737,22.5,17.5,28.4,7411,1794345,842662,2.13,892670,901675
1029926,211.57,22027,26.6,22.2,31.8,7419,1793902,843708,2.13,892487,901415
1038605,227.03,26897,-0.7,-6.0,5.4,7490,1785392,849366,2.1,888291,897101
1040751,228.39,27395,-0.3,-6.1,5.6,7522,1783923,850567,2.1,887611,896312
1041940,197.62,21863,7.9,1.2,14.7,7544,1782205,851558,2.09,886928,895277
1043932,203.81,22518,13.8,6.4,21.5,7569,1780824,852086,2.09,886274,894550
1044504,183.11,20197,18.0,10.6,25.3,7580,1779230,852829,2.09,885475,893755
1045550,186.7,20713,23.3,18.9,28.7,7457,1778279,853717,2.08,884908,893371
1047471,225.72,25033,26.2,22.3,31.1,7474,1776949,854552,2.08,884164,892785
1055749,227.53,30164,-0.7,-6.3,5.4,7519,1768229,856232,2.07,879922,888307
1056826,222.07,31315,2.1,-3.9,8.9,7537,1766524,857504,2.06,879065,887459
1059832,186.14,24714,9.3,1.3,17.1,7570,1765175,858935,2.06,878456,886719
1061614,192.19,26187,13.2,6.2,19.9,7578,1764181,859599,2.05,877966,886215
1062207,181.77,24195,18.2,12.5,24.6,7606,1763004,860284,2.05,877382,885622
1063654,185.76,26261,22.6,17.8,28.5,7623,1762021,860761,2.05,876978,885043
1063407,209.35,29004,25.8,22.6,30.4,7618,1761169,861288,2.04,876459,884710
1075108,219.96,32359,1.1,-3.3,6.2,7665,1752921,861029,2.04,872493,880428
1076412,217.39,32103,4.6,-0.1,9.8,7686,1751318,861966,2.03,871830,879488
1229420,215.44,23820,1.3,-3.4,6.7,10679,2122455,960438,2.21,1081552,1040903
1230425,216.18,24047,1.9,-3.6,7.9,10698,2120995,961890,2.21,1081153,1039842
1231885,200.39,21277,6.8,-0.3,13.9,10735,2119749,963547,2.2,1080705,1039044
1234942,202.56,22226,10.2,2.5,17.3,10773,2118457,964860,2.2,1080256,1038201
1235777,189.48,19761,17.4,11.9,23.5,10767,2118510,967947,2.19,1080425,1038085
1237991,192.67,20034,22.6,17.6,28.1,10776,2119771,971033,2.18,1081224,1038547
1240509,198.04,19319,22.8,19.6,26.6,10816,2120692,973444,2.18,1081752,1038940
1254167,234.32,27110,-2.8,-8.9,3.3,11008,2119837,984768,2.15,1082095,1037742
1255123,227.71,25815,2.1,-4.2,8.7,11019,2119542,987100,2.15,1082026,1037516
1257988,192.6,19449,8.0,1.5,14.9,11063,2115823,985844,2.15,1080841,1034982
1259479,198.36,20845,13.0,6.2,19.5,11139,2116452,987866,2.14,1081275,1035177
1260310,186.86,18796,15.9,10.1,21.7,11158,2117260,989963,2.14,1081854,1035406
1263010,193.61,19674,21.8,16.9,27.3,11168,2117400,991636,2.14,1082113,1035287
1258456,214.73,22729,26.2,21.8,31.2,11171,2118205,993794,2.13,1082654,1035551
1275427,228.0,27346,-2.7,-8.9,3.6,11349,2118638,1003132,2.11,1083242,1035396
1278025,228.02,27557,-1.4,-7.3,4.7,11381,2118912,1005290,2.11,1083507,1035405
1279010,198.19,21954,6.9,0.5,13.4,11398,2119099,1007776,2.1,1083753,1035346
1280191,203.17,22348,13.1,5.6,20.9,11429,2119296,1009254,2.1,1083970,1035326
1285538,182.13,19945,17.4,9.8,24.8,11458,2119661,1010866,2.1,1084296,1035365
1291567,186.78,20600,22.5,17.7,27.7,11498,2120201,1012446,2.09,1084712,1035489
1294411,228.9,25889,25.8,22.1,30.3,11518,2121011,1013955,2.09,1085037,1035974
1313631,228.69,30965,-2.2,-7.9,3.8,11582,2122913,1020071,2.08,1086686,1036227
1315601,222.99,31786,1.2,-4.6,7.7,11584,2123625,1022584,2.08,1087162,1036463
1316053,186.63,24841,8.6,0.7,16.8,11602,2124650,1025100,2.07,1087705,1036945
1324957,190.48,25876,12.9,5.9,19.8,11633,2125333,1026355,2.07,1088126,1037207
1325407,180.67,24054,18.0,11.3,24.5,11648,2125833,1027858,2.07,1088548,1037285
1329754,187.06,26381,22.6,17.4,27.9,11654,2126374,1029072,2.07,1088924,1037450
1332533,215.54,30375,25.4,22.3,29.6,11695,2126640,1030071,2.06,1089245,1037395
1352518,223.42,33390,-0.7,-5.1,3.9,11885,2130509,1036685,2.06,1092059,1038450
1354940,220.63,32936,3.4,-1.1,8.4,11916,2131309,1039375,2.05,1092711,1038598
926680,213.85,23974,0.6,-3.9,6.2,8942,1599391,722726,2.21,810129,789262
929059,213.02,23962,1.8,-3.5,7.7,8933,1598599,723931,2.21,809805,788794
932635,196.63,21124,7.0,-0.2,14.2,8946,1597639,725289,2.2,809369,788270
934399,199.1,22123,10.2,2.7,17.7,8920,1596613,726381,2.2,809005,787608
936097,185.5,19603,17.8,11.9,24.0,8922,1596710,729270,2.19,809114,787596
937749,189.74,20186,23.4,18.3,29.2,8897,1597593,732285,2.18,809657,787936
939451,194.56,19236,23.1,19.6,27.3,8928,1597936,734112,2.18,809841,788095
950804,233.02,27959,-3.6,-9.6,2.7,9086,1599658,746441,2.14,811057,788601
952440,225.5,26403,1.7,-4.7,8.4,9103,1599122,747979,2.14,810751,788371
953070,189.46,19778,8.1,1.8,14.9,9108,1595714,747313,2.14,809457,786257
954780,194.98,21162,13.1,6.3,19.7,9104,1596303,748975,2.13,809679,786624
956971,182.37,18976,16.2,10.3,22.2,9083,1596955,750635,2.13,809946,787009
958975,189.34,19870,22.1,17.3,27.6,9043,1597503,752237,2.12,810225,787278
960173,207.97,21937,26.4,21.9,31.7,9051,1597501,753893,2.12,810258,787243
967573,226.26,27192,-3.4,-9.4,3.0,9155,1597097,761737,2.1,810548,786549
970148,226.29,27447,-2.0,-8.2,4.4,9171,1597022,763610,2.09,810649,786373
970627,195.39,21712,6.7,0.4,13.2,9217,1597484,766005,2.09,811004,786480
971194,201.12,22131,13.4,5.9,21.1,9224,1597284,767041,2.08,811063,786221
973304,179.51,19608,17.8,10.1,25.3,9282,1597033,768171,2.08,811009,786024
974071,184.66,20388,22.9,17.7,28.3,9327,1597118,769180,2.08,811127,785991
976218,231.28,26309,26.0,22.3,30.5,9360,1597163,770205,2.07,811286,785877
984960,231.67,31566,-3.1,-8.6,3.1,9494,1594459,772155,2.06,810740,783719
985443,224.79,32097,0.9,-4.9,7.4,9529,1593434,773184,2.06,810305,783129
987651,185.15,24559,8.6,0.8,17.0,9560,1594056,775386,2.06,810811,783245
988723,189.9,25803,13.0,5.9,19.7,9589,1594109,776038,2.05,810806,783303
992171,178.65,23753,18.4,11.4,24.9,9628,1594007,776795,2.05,810783,783224
992625,184.74,26176,22.8,17.7,28.4,9651,1593931,777614,2.05,810748,783183
993614,214.2,30193,25.9,22.4,30.4,9690,1594240,778481,2.05,810943,783297
1006622,222.74,33410,-1.2,-5.4,3.6,9825,1592155,779404,2.04,809830,782325
1007371,219.92,32938,3.1,-1.2,8.1,9832,1590947,779904,2.04,809319,781628
