대상가구수,평균사용량,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
1848767,201.97,21205,11.3,7.3,15.9,19385,3341063,1481086,2.26,1681719,1659344
1849334,216.27,23664,3.6,-0.1,8.0,19447,3340216,1484601,2.25,1681423,1658793
1850706,240.4,28293,2.9,-1.3,7.2,19412,3338396,1487083,2.24,1680383,1658013
1851600,228.73,26024,6.6,2.2,11.3,19395,3336045,1490502,2.24,1679295,1656750
1851931,200.75,20810,10.8,6.4,15.6,19430,3330463,1490880,2.23,1677021,1653442
1854396,204.24,21797,14.3,9.4,19.7,19489,3329623,1493396,2.23,1676550,1653073
1857098,193.36,19983,17.8,13.7,22.2,19511,3327298,1494518,2.23,1675389,1651909
1858836,198.62,20531,21.7,18.3,25.8,19458,3325840,1496137,2.22,1674612,1651228
1861340,228.02,23863,26.1,23.4,29.5,19455,3324735,1498081,2.22,1674003,1650732
1862133,294.35,34089,25.8,23.0,29.2,19474,3322373,1499638,2.22,1672737,1649636
1863632,237.06,25341,22.3,19.6,25.6,19480,3319271,1501655,2.21,1671042,1648229
1864341,201.97,21579,17.4,13.5,22.4,19515,3318161,1503397,2.21,1670394,1647767
1864864,204.35,22199,10.9,6.6,16.1,19542,3316365,1504605,2.2,1669512,1646853
1865039,214.01,23775,5.3,1.0,9.6,19573,3314183,1505971,2.2,1668338,1645845
1865630,234.03,27754,2.9,-1.2,7.5,19593,3311438,1506797,2.2,1666968,1644470
1863518,231.94,27348,3.3,-0.9,7.8,19600,3307005,1508852,2.19,1664907,1642098
1865456,205.96,22581,10.0,5.3,14.9,19619,3303274,1510929,2.19,1663146,1640128
1867717,207.75,22556,14.6,10.0,19.7,19630,3300692,1512847,2.18,1661866,1638826
1867876,190.44,20443,18.8,13.8,24.2,19665,3298016,1514453,2.18,1660600,1637416
1869569,196.6,21430,21.7,19.2,25.0,19673,3295615,1515190,2.18,1659245,1636370
1586466,204.35,22420,3.9,-0.3,8.8,15116,2662508,1228044,2.17,1340346,1322162
1587795,205.79,22660,4.6,-0.7,10.9,15152,2658956,1229265,2.16,1338907,1320049
1586315,192.24,20467,8.7,2.1,15.7,15198,2653418,1231572,2.15,1336289,1317129
1589412,193.7,20946,11.8,4.8,18.9,15101,2651054,1235801,2.15,1334981,1316073
1589270,180.46,18596,18.5,12.9,25.2,15114,2648760,1239069,2.14,1333815,1314945
1592342,182.99,18844,23.5,18.1,29.9,15142,2646493,1241310,2.13,1332780,1313713
1595859,184.28,17370,22.4,19.5,26.4,15182,2644001,1242701,2.13,1331461,1312540
1605801,221.36,25215,0.0,-5.6,6.3,15104,2637639,1256416,2.1,1328384,1309255
1607704,212.17,23468,4.7,-1.7,11.6,15129,2636747,1259684,2.09,1328167,1308580
1608180,183.73,18254,9.2,3.1,15.8,15182,2635563,1262718,2.09,1327990,1307573
1609182,187.99,19291,13.1,6.6,19.9,15217,2635896,1265410,2.08,1328240,1307656
1609588,177.48,17581,17.4,11.5,23.8,15243,2633592,1265179,2.08,1327307,1306285
1610450,181.86,17973,22.3,17.7,27.5,15290,2632401,1266588,2.08,1326844,1305557
1613565,198.61,19355,26.1,21.9,31.1,15311,2631649,1268267,2.07,1326218,1305431
1613252,215.97,25480,0.6,-5.0,7.6,15480,2624310,1277295,2.05,1322509,1301801
1614484,215.32,25475,1.2,-4.5,7.7,15500,2622026,1279337,2.05,1321638,1300388
1615444,188.27,20535,8.7,2.1,15.7,15532,2619641,1281587,2.04,1320888,1298753
1616380,191.71,20640,14.4,6.8,22.0,15530,2617552,1282737,2.04,1320018,1297534
1617518,174.39,18570,19.5,11.8,27.4,15543,2616177,1284046,2.04,1319332,1296845
1618669,181.41,19661,23.1,18.2,28.7,15562,2613963,1284663,2.03,1318198,1295765
1619741,226.93,25409,26.4,22.6,31.3,15582,2612016,1285289,2.03,1317139,1294877
1629034,217.35,29119,0.8,-4.9,7.6,15809,2597527,1286840,2.02,1310583,1286944
1632220,211.6,29637,3.8,-2.3,10.8,15811,2594399,1288685,2.01,1309417,1284982
1633193,177.72,23152,10.5,3.3,18.6,15836,2593210,1291726,2.01,1309056,1284154
1634549,181.48,24116,13.9,6.7,20.5,15873,2592205,1292951,2.0,1308840,1283365
1636372,172.75,22651,18.2,12.1,24.4,15901,2590726,1294627,2.0,1308195,1282531
1640918,177.35,24575,23.2,18.1,29.4,15737,2588860,1295243,2.0,1307284,1281576
1641116,202.47,27714,26.4,22.4,31.8,15753,2564065,1282140,2.0,1294579,1269486
1643919,208.91,30947,2.0,-2.9,8.0,15889,2551370,1281979,1.99,1288999,1262371
1644894,206.65,30439,5.0,0.6,10.2,15925,2548440,1283187,1.99,1287853,1260587
747606,240.06,25894,4.6,1.2,9.0,4590,1456688,617379,2.36,720931,735757
748222,242.12,26306,5.3,0.8,10.6,4580,1456121,618503,2.35,720686,735435
748985,226.31,23514,9.0,3.8,15.2,4450,1455705,620050,2.35,720460,735245
752517,229.82,24332,11.5,6.2,18.0,4290,1456096,622374,2.34,720536,735560
752566,216.18,21872,18.8,14.2,24.4,4251,1455533,624687,2.33,720300,735233
754051,221.74,22611,23.6,19.6,28.8,4256,1455048,626386,2.32,720060,734988
755194,229.39,21952,23.4,20.8,26.8,4290,1454709,627676,2.32,719860,734849
758548,258.89,28742,1.4,-2.6,6.4,4350,1449115,634859,2.28,716929,732186
760593,250.55,27180,5.1,0.4,10.7,4364,1447953,635999,2.28,716331,731622
760166,217.41,21295,10.6,5.6,17.0,4390,1445473,636160,2.27,715226,730247
761634,224.31,22602,14.9,9.7,20.9,4413,1444787,637169,2.27,714834,729953
763368,211.77,20515,18.4,13.4,24.0,4432,1443154,637364,2.26,714101,729053
763947,220.84,21817,23.3,19.2,28.3,4439,1442647,638270,2.26,713793,728854
760941,249.66,25704,27.0,23.6,31.4,4452,1442482,639333,2.26,713626,728856
774491,247.79,28254,1.6,-2.3,6.7,4504,1441636,646429,2.23,713037,728599
774582,248.0,28314,1.8,-2.4,7.2,4507,1440032,647419,2.22,712199,727833
775540,219.96,23161,9.6,4.5,15.6,4526,1438463,648252,2.22,711289,727174
776955,225.36,23564,15.5,9.8,22.6,4545,1436916,648653,2.22,710524,726392
778855,205.05,20943,19.3,13.8,26.1,4563,1436012,649454,2.21,710062,725950
779208,213.65,22148,23.8,20.1,29.0,4583,1435378,650131,2.21,709685,725693
