대상가구수,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,평균사용량
0.11110079083859781,0.2865725918020475,0.25236593059936907,0.3237822349570201,0.20846905537459284,0.04070782309752555,0.09010950202778192,0.09968801358751261,0.28301886792452846,0.09031687756257137,0.08989958848135184,217.75
0.11150135591658944,0.29475473338867153,0.27129337539432175,0.3008595988538682,0.25732899022801303,0.040614548216451024,0.09003286986038056,0.09983889492053896,0.28301886792452846,0.09024093291127243,0.08982226038352921,218.27
0.11164181972382445,0.18123245978101898,0.38801261829652994,0.37822349570200575,0.39739413680781766,0.040814422961610725,0.08996187794082525,0.09997390299115416,0.26415094339622636,0.09018487140686869,0.08973615531961322,202.68
0.11175704869123151,0.2117474999011819,0.4858044164037855,0.47851002865329517,0.4788273615635179,0.040721148080536194,0.08990194090704812,0.1001068628988776,0.26415094339622636,0.09010788027415421,0.08969348110515926,204.32
0.11217798406161436,0.10589351357761179,0.6908517350157728,0.684813753581662,0.6905537459283387,0.04064119818247232,0.0899665405457113,0.10051530071554277,0.24528301886792514,0.09017590156616409,0.08975461721380963,190.28
0.11246438429195069,0.10395667812957032,0.8738170347003155,0.851002865329513,0.8631921824104234,0.03880235052700308,0.09001489627057788,0.10085905072087653,0.24528301886792514,0.0902359994988849,0.08979108702119759,190.11
0.11271931698105578,0.044191470018577816,0.8201892744479494,0.8366762177650431,0.7752442996742671,0.039082175170226656,0.0900759613539242,0.10116473903247175,0.2264150943396226,0.09032390393778998,0.08982498426955819,190.92
0.11397893073294896,0.4818767540218982,0.13249211356466878,0.16332378223495703,0.13029315960912052,0.0397217743547377,0.09019643704791533,0.10253939769332482,0.18867924528301883,0.09044559477668236,0.08994422994682673,241.45
0.11439895400068742,0.4139294043242816,0.26813880126182965,0.27507163323782235,0.28013029315960913,0.039841699201833516,0.0901346951348275,0.1027035920851476,0.18867924528301883,0.0903647167129959,0.08990185838637597,233.29
0.11465282257004075,0.13739673504881622,0.4195583596214511,0.41833810888252154,0.4267100977198698,0.040054898930003864,0.08979808514337662,0.10233782432872743,0.18867924528301883,0.09007499085823735,0.08951779045629027,196.75
0.11524492920335283,0.16660737578560425,0.5488958990536278,0.5300859598853869,0.5602605863192182,0.04013484882806774,0.08978123960314313,0.10252642599501036,0.18867924528301883,0.09004344691842618,0.08951582320526934,198.25
0.11530041544755282,0.08454879639511448,0.6782334384858043,0.6590257879656161,0.6775244299674267,0.040254773675163565,0.08972980054278737,0.10256585313067673,0.16981132075471717,0.09002191930073515,0.08943410662440003,186.52
0.11555899654723545,0.09324479228428006,0.8075709779179809,0.8022922636103151,0.7882736156351791,0.040521273335376494,0.08973273347166733,0.102751553232863,0.16981132075471717,0.09003029115205943,0.08943153406537267,189.67
0.11581453730477012,0.12312739633977632,0.9558359621451104,0.9369627507163325,0.9478827361563518,0.040561248284408435,0.08977860748748168,0.10296012448734057,0.16981132075471717,0.09007259890071613,0.08948101799489908,201.16
0.11745981845813,0.4378038657654453,0.1608832807570978,0.20630372492836677,0.15309446254071662,0.04118752248590883,0.08996811981510816,0.10427999479083905,0.1320754716981134,0.09023450452543413,0.08969847489621238,233.21
0.11753856331976176,0.44559073481165257,0.17665615141955837,0.21203438395415472,0.1758957654723127,0.041294122349994,0.08999752430721211,0.10455359521713004,0.1320754716981134,0.09026858992011162,0.08972314119747478,233.12
0.11779896862473316,0.20668801138384918,0.39747634069400634,0.4040114613180516,0.3811074918566776,0.04136074726504724,0.08999639625764291,0.10487874107619696,0.1132075471698113,0.09026545047586501,0.08972404915948444,201.67
0.11806104611788593,0.20613462982726594,0.6214511041009464,0.5902578796561605,0.6286644951140065,0.04158727197622823,0.08999654666425214,0.10505334696271951,0.1132075471698113,0.09027143036966807,0.08971829873342327,204.26
0.11811455613968974,0.10360093284319538,0.7539432176656151,0.7077363896848138,0.7687296416938111,0.041773821738377286,0.0899940649551999,0.10524024182659264,0.09433962264150964,0.0902558826457801,0.08972904295053757,182.9
0.11825897239171707,0.11692161745523544,0.8580441640378549,0.8452722063037249,0.8306188925081432,0.041933721534505045,0.08999850195017209,0.1053574991521459,0.09433962264150964,0.09024795928649104,0.08974599157471787,186.02
0.11864600794715036,0.24929839124076048,0.9432176656151419,0.9512893982808024,0.9153094462540716,0.04217357122869668,0.09000707512689807,0.1055146956540885,0.09433962264150964,0.09024526833427966,0.08976596673893036,217.98
0.11989650067259969,0.6144116368235899,0.1892744479495268,0.23209169054441262,0.18892508143322476,0.043106320039441946,0.08972092655284297,0.1057224135073612,0.07547169811320753,0.08993281888306946,0.08950644093116952,237.46
0.11996946888415036,0.6279299577058381,0.277602523659306,0.3037249283667622,0.26384364820846906,0.04333284475062294,0.08962271103701747,0.1058657849097844,0.07547169811320753,0.08985223981407314,0.0893903731209348,230.74
0.12022120921400012,0.31519032372821054,0.4952681388012618,0.4756446991404012,0.50814332247557,0.04367929430889975,0.08959654028701192,0.10617454546571725,0.05660377358490587,0.08982473230257905,0.08936555549267079,190.53
0.12055686298713311,0.3445590734811652,0.5962145110410094,0.5673352435530086,0.6026058631921823,0.04379921915599558,0.08956924148743714,0.10627285728452177,0.05660377358490587,0.08979602881232433,0.08933967857539551,192.57
0.12064108046463118,0.2706431084232579,0.7539432176656151,0.7077363896848138,0.762214983713355,0.04386584407104881,0.08954856057866839,0.10642544541995788,0.05660377358490587,0.08978705897161973,0.0893071432700494,182.03
